Valgrækkefølge	Region	Speciale	Enhed	Afdeling	Speciale 2	Område
28	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Indre København
29	Nordjylland	Intern medicin	Aalborg Universitetshospital	Endokrinologisk Afdeling	Almen medicin	Område Region Nordjylland
30	Sjælland	Akutmedicin	Holbæk Sygehus	Akutafdeling	Almen medicin	Område Holbæk Sygehus
31	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Geriatrisk og Palliativ Afdeling GP	Almen medicin	Indre København
32	Nordjylland	Intern medicin	Aalborg Universitetshospital	Infektionsmedicinsk Afdeling	Almen medicin	Område Region Nordjylland
33	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Hjertesygdomme	Almen medicin	Hovedstaden - Midt
34	Syddanmark	Intern medicin	Sygehus Lillebælt Vejle	Medicinsk afdeling, Vejle	Almen medicin	Område Lillebælt (Vejle)
35	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Hovedstaden - Byen
36	Nordjylland	Intern medicin	Aalborg Universitetshospital	Infektionsmedicinsk Afdeling	Almen medicin	Område Region Nordjylland
37	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Afdeling for Lunge- og Infektionssygdomme	Almen medicin	Indre København
38	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Lunge-, Hormon- og Stofskiftesygdomme,  Lungemedicinsk sektion	Almen medicin	Ydre København
39	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Hjerteafdeling Y	Almen medicin	Indre København
40	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
41	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	AMH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Syd
42	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Endokrinologisk afd. I	Almen medicin	Indre København
43	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Indre København
44	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Indre København
45	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Indre København
46	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
47	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
48	Syddanmark	Intern medicin	Sygehus Lillebælt Vejle	Medicinsk afdeling, Vejle	Almen medicin	Område Lillebælt (Vejle)
49	Nordjylland	Intern medicin	Aalborg Universitetshospital	Infektionsmedicinsk Afdeling	Almen medicin	Område Region Nordjylland
50	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
51	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
52	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Endokrinologisk afd. I	Almen medicin	Hovedstaden - Byen
53	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
54	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Geriatrisk afd. G, Odense	Almen medicin	Område Fyn
55	Sjælland	Akutmedicin	Sjællands Universitetshospital	KOE, Akutafdeling	Almen medicin	Område Sjællands Universitetshospital
56	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Hovedstaden - Byen
57	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Endokrinologisk afd. I	Almen medicin	Indre København
58	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
59	Syddanmark	Intern medicin	OUH Svendborg Sygehus	Medicinsk afd. M, Svendborg	Almen medicin	Område Fyn
60	Nordjylland	Intern medicin	Aalborg Universitetshospital	Endokrinologisk Afdeling	Almen medicin	Område Region Nordjylland
61	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
62	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Afdeling for Lunge- og Infektionssygdomme	Almen medicin	Indre København
63	Midtjylland	Urologi	Aarhus Universitetshospital	Urinvejskirurgi	Almen medicin	Distrikt Øst
64	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Fælles Akutmodtagelse FAM, Odense	Almen medicin	Område Fyn
65	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
66	Midtjylland	Urologi	Aarhus Universitetshospital	Urinvejskirurgi	Almen medicin	Distrikt Øst
67	Hovedstaden	Kirurgi	Bornholms Hospital	BOH, Afdeling for Kirurgi	Almen medicin	Hovedstaden - Bornholm
68	Nordjylland	Intern medicin	Aalborg Universitetshospital	Nyremedicinsk afdeling	Almen medicin	Område Region Nordjylland
69	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
70	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
71	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
72	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Endokrinologisk afd. I	Almen medicin	Indre København
73	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
74	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
75	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
76	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
77	Midtjylland	Intern medicin	Regionshospitalet Gødstrup	Medicinsk Afdeling	Almen medicin	Distrikt Vest
78	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Indre København
79	Nordjylland	Intern medicin	Aalborg Universitetshospital	Endokrinologisk Afdeling	Almen medicin	Område Region Nordjylland
80	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
81	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Fælles Akutmodtagelse FAM, Odense	Almen medicin	Område Fyn
82	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
83	Nordjylland	Ortopædisk kirurgi	Aalborg Universitetshospital	Ortopædkirurgisk afdeling, Aalborg	Almen medicin	Område Region Nordjylland
84	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Hjerteafdeling Y	Almen medicin	Indre København
85	Syddanmark	Ortopædisk kirurgi	Sygehus Sønderjylland Aabenraa	Ortopædkirurgi, Aabenraa	Almen medicin	Område Sønderjylland
86	Syddanmark	Kirurgi	OUH Odense Universitetshospital	Kirurgisk afd. A, Odense	Almen medicin	Område Fyn
87	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Geriatrisk og Palliativ Afdeling GP	Almen medicin	Hovedstaden - Byen
88	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
89	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
90	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Hjerteafdeling Y	Almen medicin	Indre København
91	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
92	Nordjylland	Kirurgi	Regionshospital Nordjylland	Kirurgisk område	Almen medicin	Område Region Nordjylland
93	Midtjylland	Kirurgi	Hospitalsenheden Horsens	Kirurgi, Overafdeling	Almen medicin	Distrikt Øst
94	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
95	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Medicinske Sygdomme, Aabenraa	Almen medicin	Område Sønderjylland
96	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	GEH, Afdeling for Medicinske Sygdomme	Almen medicin	Ydre København
97	Hovedstaden	Neurologi	Bispebjerg og Frederiksberg Hospital	BBH, Neurologisk Afdeling	Almen medicin	Indre København
98	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Fælles Akutmodtagelse FAM, Odense	Almen medicin	Område Fyn
99	Syddanmark	Intern medicin: Kardiologi	OUH Odense Universitetshospital	Hjertemedicinsk afd. B, Odense	Almen medicin	Område Fyn
100	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Medicinsk	Almen medicin	Hovedstaden - Byen
101	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Geriatrisk og Palliativ Afdeling GP	Almen medicin	Indre København
102	Hovedstaden	Neurologi	Rigshospitalet	GLO, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Hovedstaden - Byen
103	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Lunge-, Hormon- og Stofskiftesygdomme,  Endokrinologisk sektion	Almen medicin	Ydre København
104	Nordjylland	Intern medicin	Aalborg Universitetshospital	Endokrinologisk Afdeling	Almen medicin	Område Region Nordjylland
105	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
106	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
107	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Indre København
108	Syddanmark	Neurologi	OUH Odense Universitetshospital	Neurologisk afd. N, Odense	Almen medicin	Område Fyn
109	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
110	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
111	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
112	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Lunge-, Hormon- og Stofskiftesygdomme,  Endokrinologisk sektion	Almen medicin	Ydre København
113	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
114	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Lunge-, Hormon- og Stofskiftesygdomme,  Lungemedicinsk sektion	Almen medicin	Ydre København
115	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Hjerteafdeling Y	Almen medicin	Hovedstaden - Byen
116	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	GEH, Afdeling for Medicinske Sygdomme	Almen medicin	Ydre København
117	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	AMH, Afdeling for Medicinske Sygdomme	Almen medicin	Indre København
118	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
119	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
120	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
121	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
122	Sjælland	Urologi	Sjællands Universitetshospital	ROS, Urologisk afd.	Almen medicin	Område Sjællands Universitetshospital
123	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Medicinsk	Almen medicin	Indre København
124	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
125	Syddanmark	Kirurgi	OUH Odense Universitetshospital	Kirurgisk afd. A, Odense	Almen medicin	Område Fyn
126	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	AMH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Syd
127	Hovedstaden	Kirurgi	Bornholms Hospital	BOH, Afdeling for Kirurgi	Almen medicin	Bornholms Regionskommune
128	Hovedstaden	Intern medicin	Bornholms Hospital	BOH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Bornholm
129	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Hjerteafdeling Y	Almen medicin	Indre København
130	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Medicinsk	Almen medicin	Hovedstaden - Syd
131	Syddanmark	Kirurgi	Sygehus Sønderjylland Aabenraa	Kirurgi, Aabenraa	Almen medicin	Område Sønderjylland
132	Syddanmark	Intern medicin	OUH Svendborg Sygehus	Medicinsk afd. M, Svendborg	Almen medicin	Område Fyn
133	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
134	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
135	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
136	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Medicinsk	Almen medicin	Hovedstaden - Byen
137	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Fælles Akutmodtagelse FAM, Odense	Almen medicin	Område Fyn
138	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Hovedstaden - Byen
139	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
140	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Geriatrisk og Palliativ Afdeling GP	Almen medicin	Indre København
141	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
142	Hovedstaden	Neurologi	Bispebjerg og Frederiksberg Hospital	BBH, Neurologisk Afdeling	Almen medicin	Indre København
143	Grønland og Færøerne	Kirurgi	Landssjúkrahúsið, Torshavn, Færøerne	Kirurgisk Afdeling	Almen medicin	Område Færøerne
144	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
145	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Hovedstaden - Byen
146	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
147	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
148	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Indre København
149	Grønland og Færøerne	Kirurgi	Landssjúkrahúsið, Torshavn, Færøerne	Kirurgisk Afdeling	Almen medicin	Område Færøerne
150	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Indre København
151	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Indre København
152	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Indre København
153	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Indre København
154	Nordjylland	Ortopædisk kirurgi	Aalborg Universitetshospital	Ortopædkirurgisk afdeling, Aalborg	Almen medicin	Område Region Nordjylland
155	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	GEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
156	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	AMH, Afdeling for Medicinske Sygdomme	Almen medicin	Indre København
157	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Lungemedicinsk afd. J, Odense	Almen medicin	Område Fyn
158	Nordjylland	Urologi	Aalborg Universitetshospital	Urologisk Afdeling	Almen medicin	Område Region Nordjylland
159	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	GEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
160	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Lunge-, Hormon- og Stofskiftesygdomme,  Endokrinologisk sektion	Almen medicin	Hovedstaden - Syd
161	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Hjertesygdomme	Almen medicin	Ydre København
162	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
163	Midtjylland	Urologi	Aarhus Universitetshospital	Urinvejskirurgi	Almen medicin	Distrikt Øst
164	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Infektionsmedicinsk Afdeling	Almen medicin	Hovedstaden - Syd
165	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	GEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
166	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	GEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
167	Midtjylland	Intern medicin	Hospitalsenheden Horsens	Medicinsk Afdeling, Overafdeling	Almen medicin	Distrikt Øst
168	Hovedstaden	Neurologi	Bispebjerg og Frederiksberg Hospital	BBH, Neurologisk Afdeling	Almen medicin	Hovedstaden - Byen
169	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
170	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
171	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	AMH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Syd
172	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	AMH, Afdeling for Medicinske Sygdomme	Almen medicin	Indre København
173	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	GEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
174	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	AMH, Afdeling for Medicinske Sygdomme	Almen medicin	Indre København
175	Syddanmark	Intern medicin	OUH Svendborg Sygehus	Medicinsk afd. M, Svendborg	Almen medicin	Område Fyn
176	Syddanmark	Intern medicin: Kardiologi	OUH Odense Universitetshospital	Hjertemedicinsk afd. B, Odense	Almen medicin	Område Fyn
177	Syddanmark	Intern medicin	OUH Svendborg Sygehus	Medicinsk afd. M, Svendborg	Almen medicin	Område Fyn
178	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Ydre København
179	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Afdeling	Almen medicin	Distrikt Midt
180	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Syd
181	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Indre København
182	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
183	Hovedstaden	Kirurgi	Bornholms Hospital	BOH, Afdeling for Kirurgi	Intern medicin	Bornholms Hospital
184	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Ældresygdomme	Almen medicin	Ydre København
185	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Medicinsk	Almen medicin	Hovedstaden - Byen
186	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
187	Syddanmark	Intern medicin: Kardiologi	OUH Odense Universitetshospital	Hjertemedicinsk afd. B, Odense	Almen medicin	Område Fyn
188	Midtjylland	Kirurgi	Regionshospitalet Randers	Mave- og Tarmkirurgi - Randers	Almen medicin	Distrikt Øst
189	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	GEH, Afdeling for Medicinske Sygdomme	Almen medicin	Ydre København
190	Hovedstaden	Neurologi	Bispebjerg og Frederiksberg Hospital	BBH, Neurologisk Afdeling	Almen medicin	Indre København
191	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Hovedstaden - Byen
192	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Fælles Akutmodtagelse FAM, Odense	Almen medicin	Område Fyn
193	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Indre København
194	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
195	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Hovedstaden - Syd
196	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	GEH, Afdeling for Medicinske Sygdomme	Almen medicin	Ydre København
197	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Ældresygdomme	Almen medicin	Ydre København
198	Syddanmark	Kirurgi	Sygehus Lillebælt Kolding	Organkirurgi, Kolding	Almen medicin	Område Lillebælt (Vejle)
199	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Lunge-, Hormon- og Stofskiftesygdomme,  Endokrinologisk sektion	Almen medicin	Ydre København
200	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Indre København
201	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
202	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Hovedstaden - Byen
203	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Ydre København
204	Sjælland	Akutmedicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Akutafdeling	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
205	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
206	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Indre København
207	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Fælles Akutmodtagelse FAM, Odense	Almen medicin	Område Fyn
208	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Hjertesygdomme	Almen medicin	Ydre København
