Valgrækkefølge	Region	Speciale	Enhed	Afdeling	Speciale 2	Område
64	Syddanmark	Intern medicin: Kardiologi	OUH Odense Universitetshospital	Hjertemedicinsk afd. B, Odense	Almen medicin	Område Fyn
65	Nordjylland	Kirurgi	Aalborg Universitetshospital	Kirurgisk afdeling, afsnit syd Aalborg	Almen medicin	Område Region Nordjylland
66	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
67	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
68	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Afdeling for medicinsk mavetarmsygdomme S, Odense	Almen medicin	Område Fyn
69	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
70	Syddanmark	Intern medicin	OUH Svendborg Sygehus	Medicinsk afd. M, Svendborg	Almen medicin	Område Fyn
71	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Afdeling for medicinsk mavetarmsygdomme S, Odense	Almen medicin	Område Fyn
72	Hovedstaden	Neurologi	Bispebjerg og Frederiksberg Hospital	BBH, Neurologisk Afdeling	Almen medicin	Hovedstaden - Byen
73	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	Hovedstaden - Nord
74	Sjælland	Akutmedicin	Sjællands Universitetshospital, Nykøbing F.	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
75	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Endokrinologisk afd. I	Almen medicin	Hovedstaden - Byen
76	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	Hovedstaden - Nord
77	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Hjerteafdeling Y	Almen medicin	Hovedstaden - Byen
78	Syddanmark	Intern medicin	Sygehus Lillebælt Vejle	Medicinsk afdeling, Vejle	Almen medicin	Område Lillebælt (Vejle)
79	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Hjerteafdeling Y	Almen medicin	Hovedstaden - Byen
80	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Endokrinologisk afd. I	Almen medicin	Hovedstaden - Byen
81	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Infektionsmedicinsk Afdeling	Almen medicin	Hovedstaden - Syd
82	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Syd
83	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Endokrinologisk afd. I	Almen medicin	Hovedstaden - Byen
84	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Hovedstaden - Byen
85	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Lunge-, Hormon- og Stofskiftesygdomme,  Lungemedicinsk sektion	Almen medicin	Hovedstaden - Syd
86	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
87	Hovedstaden	Akutmedicin	Nordsjællands Hospital	HIL, Akutafdelingen	Almen medicin	Hovedstaden - Nord
88	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Hovedstaden - Byen
89	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
90	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Medicinsk	Almen medicin	Hovedstaden - Byen
91	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Lunge-, Hormon- og Stofskiftesygdomme,  Lungemedicinsk sektion	Almen medicin	Hovedstaden - Syd
92	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
93	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Fælles Akutmodtagelse FAM, Odense	Almen medicin	Område Fyn
94	Hovedstaden	Neurologi	Bispebjerg og Frederiksberg Hospital	BBH, Neurologisk Afdeling	Almen medicin	Hovedstaden - Byen
95	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
96	Syddanmark	Intern medicin	OUH Svendborg Sygehus	Medicinsk afd. M, Svendborg	Almen medicin	Område Fyn
97	Syddanmark	Intern medicin	OUH Svendborg Sygehus	Medicinsk afd. M, Svendborg	Almen medicin	Område Fyn
98	Syddanmark	Neurologi	OUH Odense Universitetshospital	Neurologisk afd. N, Odense	Almen medicin	Område Fyn
99	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
100	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
101	Syddanmark	Kirurgi	OUH Svendborg Sygehus	Kirurgisk afd. A, Svendborg	Almen medicin	Område Fyn
102	Syddanmark	Kirurgi	OUH Svendborg Sygehus	Kirurgisk afd. A, Svendborg	Almen medicin	Område Fyn
103	Nordjylland	Intern medicin	Aalborg Universitetshospital	Endokrinologisk Afdeling	Almen medicin	Område Region Nordjylland
104	Midtjylland	Kirurgi	Aarhus Universitetshospital	Mave- og Tarmkirurgi	Almen medicin	Distrikt Øst
105	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Hjerteafdeling Y	Almen medicin	Hovedstaden - Byen
106	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Lunge-, Hormon- og Stofskiftesygdomme,  Endokrinologisk sektion	Almen medicin	Hovedstaden - Syd
107	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
108	Hovedstaden	Neurologi	Rigshospitalet	GLO, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Hovedstaden - Syd
109	Syddanmark	Ortopædisk kirurgi	Esbjerg Sygehus	Ortopædkirurgi, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
110	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	AMH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Syd
111	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Medicinsk Klinik	Almen medicin	Hovedstaden - Midt
112	Nordjylland	Intern medicin	Aalborg Universitetshospital - Thisted	Medicinsk Afd.	Almen medicin	Område Region Nordjylland
113	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
114	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Hovedstaden - Byen
115	Hovedstaden	Neurologi	Rigshospitalet	GLO, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Hovedstaden - Syd
116	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
117	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
118	Syddanmark	Kirurgi	OUH Odense Universitetshospital	Kirurgisk afd. A, Odense	Almen medicin	Område Fyn
119	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Infektionsmedicinsk Afdeling	Almen medicin	Hovedstaden - Syd
120	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Medicinsk	Almen medicin	Hovedstaden - Byen
121	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Diagnostisk Center	Almen medicin	Distrikt Midt
122	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	AMH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Syd
123	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
124	Sjælland	Akutmedicin	Sjællands Universitetshospital	KOE, Akutafdeling	Almen medicin	Område Sjællands Universitetshospital
125	Midtjylland	Intern medicin	Hospitalsenheden Horsens	Medicinsk Afdeling, Overafdeling	Almen medicin	Distrikt Øst
126	Midtjylland	Urologi	Aarhus Universitetshospital	Urinvejskirurgi	Almen medicin	Distrikt Øst
127	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Medicinsk	Almen medicin	Hovedstaden - Byen
128	Syddanmark	Intern medicin: Kardiologi	Sygehus Lillebælt Vejle	Hjertesygdomme, Vejle	Almen medicin	Område Lillebælt (Vejle)
129	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
130	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
131	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
132	Syddanmark	Kirurgi	OUH Odense Universitetshospital	Kirurgisk afd. A, Odense	Almen medicin	Område Fyn
133	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	Hovedstaden - Nord
134	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Hjertesygdomme	Almen medicin	Hovedstaden - Syd
135	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
136	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
137	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
138	Midtjylland	Kirurgi	Aarhus Universitetshospital	Mave- og Tarmkirurgi	Almen medicin	Distrikt Øst
139	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Medicinsk	Almen medicin	Hovedstaden - Byen
140	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Hovedstaden - Midt
141	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Diagnostisk Center	Almen medicin	Distrikt Midt
142	Nordjylland	Intern medicin	Aalborg Universitetshospital	Medicinsk Gastroenteologisk Afdeling	Almen medicin	Område Region Nordjylland
143	Midtjylland	Psykiatri	Psykiatrien Region Midtjylland	Afdeling for Depression og Angst – Aarhus Universitetshospital Psykiatrien	Almen medicin	Distrikt Øst
144	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Lunge-, Hormon- og Stofskiftesygdomme,  Endokrinologisk sektion	Almen medicin	Hovedstaden - Syd
145	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Hovedstaden - Byen
146	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
147	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
148	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
149	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Medicinsk	Almen medicin	Hovedstaden - Byen
150	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
151	Midtjylland	Kirurgi	Regionshospitalet Randers	Mave- og Tarmkirurgi - Randers	Almen medicin	Distrikt Øst
152	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Ældresygdomme	Almen medicin	Hovedstaden - Syd
153	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Lunge-, Hormon- og Stofskiftesygdomme,  Endokrinologisk sektion	Almen medicin	Hovedstaden - Syd
154	Syddanmark	Ortopædisk kirurgi	OUH Odense Universitetshospital	Ortopædkirurgisk afd. O, Odense	Almen medicin	Område Fyn
155	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
156	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	Hovedstaden - Nord
157	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Hovedstaden - Byen
158	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
159	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Hovedstaden - Byen
160	Hovedstaden	Kirurgi	Bornholms Hospital	BOH, Afdeling for Kirurgi	Almen medicin	Hovedstaden - Bornholm
161	Hovedstaden	Neurologi	Herlev og Gentofte Hospital	HEH, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Hovedstaden - Midt
162	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Syd
163	Midtjylland	Kirurgi	Hospitalsenheden Horsens	Kirurgi, Overafdeling	Almen medicin	Distrikt Øst
164	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
165	Sjælland	Akutmedicin	Sjællands Universitetshospital	KOE, Akutafdeling	Almen medicin	Område Sjællands Universitetshospital
166	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Hovedstaden - Byen
167	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Lunge-, Hormon- og Stofskiftesygdomme,  Lungemedicinsk sektion	Almen medicin	Hovedstaden - Syd
168	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
169	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Hovedstaden - Midt
170	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Medicinsk Klinik	Almen medicin	Hovedstaden - Midt
171	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
172	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Hjertesygdomme	Almen medicin	Hovedstaden - Syd
173	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
174	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Hovedstaden - Midt
175	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Vejle	Ortopædkirurgisk afd., Vejle	Almen medicin	Område Lillebælt (Vejle)
176	Midtjylland	Kirurgi	Hospitalsenheden Horsens	Kirurgi, Overafdeling	Almen medicin	Distrikt Øst
177	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Midt
178	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
179	Midtjylland	Kirurgi	Regionshospitalet Randers	Mave- og Tarmkirurgi - Randers	Almen medicin	Distrikt Øst
180	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
181	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Hovedstaden - Byen
182	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Fælles Akut Modtagelse, Aabenraa	Almen medicin	Område Sønderjylland
183	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
184	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
185	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
186	Syddanmark	Kirurgi	OUH Svendborg Sygehus	Kirurgisk afd. A, Svendborg	Almen medicin	Område Fyn
187	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
188	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Hovedstaden - Byen
189	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Endokrinologisk og Nefrologisk Afdeling	Almen medicin	Hovedstaden - Midt
190	Syddanmark	Ortopædisk kirurgi	OUH Odense Universitetshospital	Ortopædkirurgisk afd. O, Odense	Almen medicin	Område Fyn
191	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
192	Hovedstaden	Intern medicin	Bornholms Hospital	BOH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Bornholm
193	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Lunge-, Hormon- og Stofskiftesygdomme,  Endokrinologisk sektion	Almen medicin	Hovedstaden - Syd
194	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
195	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Hovedstaden - Midt
196	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Hovedstaden - Midt
197	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Hjertesygdomme	Almen medicin	Hovedstaden - Syd
198	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Hovedstaden - Midt
199	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
200	Syddanmark	Kirurgi	OUH Odense Universitetshospital	Kirurgisk afd. A, Odense	Almen medicin	Område Fyn
201	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
202	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
