ValgRækkefølge	Region	Speciale	Enhed	Afdeling	Speciale2	Område
37	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
38	Hovedstaden	Intern medicin	Bornholms Hospital	BOH, Afdeling for Medicinske Sygdomme	Almen medicin	Bornholms Regionskommune
39	Midtjylland	Kirurgi	Hospitalsenheden Horsens	Kirurgi, Overafdeling	Almen medicin	Distrikt Øst
40	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	AMH, Afdeling for Medicinske Sygdomme	Almen medicin	Indre København
41	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Afdeling for Lunge- og Infektionssygdomme	Almen medicin	Indre København
42	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	GEH, Afdeling for Medicinske Sygdomme	Almen medicin	Ydre København
43	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Endokrinologisk afd. I	Almen medicin	Indre København
44	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Hjerteafdeling Y	Almen medicin	Indre København
45	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
46	Hovedstaden	Intern medicin	Bornholms Hospital	BOH, Afdeling for Medicinske Sygdomme	Kirurgi	Bornholms Hospital
47	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
48	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
49	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Ydre København
50	Syddanmark	Intern medicin	OUH Svendborg Sygehus	Medicinsk afd. M	Almen medicin	Område Fyn
51	Hovedstaden	Neurologi	Bispebjerg og Frederiksberg Hospital	BBH, Neurologisk Afdeling	Almen medicin	Indre København
52	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Endokrinologisk afd. I	Almen medicin	Indre København
53	Syddanmark	Intern medicin	Sygehus Lillebælt Vejle	Medicinsk afd.	Almen medicin	Område Lillebælt (Vejle)
54	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
55	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Indre København
56	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Hjerteafdeling Y	Almen medicin	Indre København
57	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Hjerteafdeling Y	Almen medicin	Indre København
58	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	GEH, Afdeling for Medicinske Sygdomme	Almen medicin	Ydre København
59	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
60	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Ydre København
61	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
62	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
63	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
64	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Geriatrisk afd. G	Almen medicin	Område Fyn
65	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
66	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
67	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Fælles Akutmodtagelse FAM	Almen medicin	Område Fyn
68	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Fælles Akutmodtagelse FAM	Almen medicin	Område Fyn
69	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Ydre København
70	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Indre København
71	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
72	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
73	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
74	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Indre København
75	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
76	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
77	Syddanmark	Intern medicin	OUH Svendborg Sygehus	Medicinsk afd. M	Almen medicin	Område Fyn
78	Midtjylland	Akutmedicin	Aarhus Universitetshospital	Akutafdeling	Almen medicin	Distrikt Øst
79	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
80	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
81	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Medicinske Sygdomme, Endokrinologisk Sektion	Almen medicin	Ydre København
82	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Ydre København
83	Hovedstaden	Kirurgi	Bornholms Hospital	BOH, Afdeling for Kirurgi	Almen medicin	Bornholms Regionskommune
84	Hovedstaden	Intern medicin	Bornholms Hospital	BOH, Afdeling for Medicinske Sygdomme	Almen medicin	Bornholms Regionskommune
85	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Indre København
86	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Geriatrisk afd. G	Almen medicin	Indre København
87	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Indre København
88	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Medicinsk	Almen medicin	Indre København
89	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Indre København
90	Midtjylland	Urologi	Aarhus Universitetshospital	Urinvejskirurgi	Almen medicin	Distrikt Øst
91	Hovedstaden	Intern medicin	Bornholms Hospital	BOH, Afdeling for Medicinske Sygdomme	Almen medicin	Bornholms Regionskommune
92	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Infektionsmedicinsk Afdeling	Almen medicin	Ydre København
93	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
94	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
95	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	AMH, Afdeling for Medicinske Sygdomme	Almen medicin	Ydre København
96	Midtjylland	Intern medicin	Hospitalsenhed Midt	Diagnostisk Center Medicin	Almen medicin	Distrikt Midt
97	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Medicinske Sygdomme, Endokrinologisk Sektion	Almen medicin	Ydre København
98	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Hjerte- og Medicinske Sygdomme	Almen medicin	Ydre København
99	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
100	Hovedstaden	Neurologi	Bispebjerg og Frederiksberg Hospital	BBH, Neurologisk Afdeling	Almen medicin	Indre København
101	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Hjerte- og Medicinske Sygdomme	Almen medicin	Indre København
102	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Indre København
103	Sjælland	Neurologi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 3 - neurologisk afs.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
104	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	AMH, Afdeling for Medicinske Sygdomme	Almen medicin	Ydre København
105	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
106	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	GEH, Afdeling for Medicinske Sygdomme	Almen medicin	Ydre København
107	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Infektionsmedicinsk Afdeling	Almen medicin	NordSjælland
108	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Geriatrisk afd. G	Almen medicin	Indre København
109	Hovedstaden	Intern medicin	NordSjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	NordSjælland
110	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
111	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
112	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
113	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Indre København
114	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Lungemed. afd. J	Almen medicin	Område Fyn
115	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Geriatrisk afd. G	Almen medicin	Indre København
116	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Indre København
117	Sjælland	Ortopædisk kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Ortopædkirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
118	Syddanmark	Neurologi	OUH Odense Universitetshospital	Neurologisk Afdeling N	Almen medicin	Område Fyn
119	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Medicinske Sygdomme, Lungemedicinsk Sektion	Almen medicin	Ydre København
120	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	GEH, Afdeling for Medicinske Sygdomme	Almen medicin	Ydre København
121	Midtjylland	Intern medicin	Hospitalsenheden Horsens	Medicinsk Afdeling, Overafdeling	Almen medicin	Distrikt Øst
122	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
123	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Infektionsmedicinsk Afdeling	Almen medicin	Ydre København
124	Midtjylland	Intern medicin	Hospitalsenheden Horsens	Medicinsk Afdeling, Overafdeling	Almen medicin	Distrikt Øst
125	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Lungemed. afd. J	Almen medicin	Område Fyn
126	Hovedstaden	Intern medicin	NordSjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	NordSjælland
127	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	NordSjælland
128	Syddanmark	Intern medicin	Sydvestjysk Sygehus Esbjerg	Fælles Medicinske afdelinger	Almen medicin	Område Sydvestjylland (Ribe)
129	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Indre København
130	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
131	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
132	Midtjylland	Kirurgi	Aarhus Universitetshospital	Mave- og Tarmkirurgi 	Almen medicin	Distrikt Øst
133	Nordjylland	Intern medicin	Aalborg Universitetshospital	Infektionsmed. Afd.	Almen medicin	Område Region Nordjylland
134	Hovedstaden	Neurologi	Rigshospitalet	GLO, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Ydre København
135	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Medicinsk mavetarm afd. S	Almen medicin	Område Fyn
136	Syddanmark	Intern medicin: Kardiologi	OUH Odense Universitetshospital	Hjertemed. afd. B	Almen medicin	Område Fyn
137	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	AMH, Afdeling for Medicinske Sygdomme	Almen medicin	Indre København
138	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	GEH, Afdeling for Medicinske Sygdomme	Almen medicin	Ydre København
139	Midtjylland	Intern medicin	Hospitalsenhed Midt	Diagnostisk Center Medicin	Almen medicin	Distrikt Midt
140	Hovedstaden	Intern medicin	Rigshospitalet	GLO, Medicinsk afd., MG	Almen medicin	Ydre København
141	Sjælland	Akutmedicin	Sjællands Universitetshospital	KOE, Akutafdeling	Almen medicin	Område Sjællands Universitetshospital
142	Midtjylland	Intern medicin	Hospitalsenheden Horsens	Medicinsk Afdeling, Overafdeling	Almen medicin	Distrikt Øst
143	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
144	Sjælland	Intern medicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 1	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
145	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Medicinsk mavetarm afd. S	Almen medicin	Område Fyn
146	Midtjylland	Urologi	Aarhus Universitetshospital	Urinvejskirurgi	Almen medicin	Distrikt Øst
147	Midtjylland	Kirurgi	Aarhus Universitetshospital	Mave- og Tarmkirurgi 	Almen medicin	Distrikt Øst
148	Hovedstaden	Neurologi	Herlev og Gentofte Hospital	HEH, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Ydre København
149	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Fælles Akutmodtagelse FAM	Almen medicin	Område Fyn
150	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Indre København
151	Hovedstaden	Intern medicin	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Medicinsk	Almen medicin	Indre København
152	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	GEH, Afdeling for Medicinske Sygdomme	Almen medicin	Ydre København
153	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Medicinske Sygdomme	Almen medicin	Område Sønderjylland
154	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
155	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Indre København
156	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Medicinske Sygdomme	Almen medicin	Område Sønderjylland
157	Syddanmark	Intern medicin	Sydvestjysk Sygehus Esbjerg	Fælles Medicinske afdelinger	Almen medicin	Område Sydvestjylland (Ribe)
158	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Medicinske Sygdomme	Almen medicin	Indre København
159	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Medicinske Sygdomme, Endokrinologisk Sektion	Almen medicin	Ydre København
160	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
161	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Medicinske Sygdomme, Lungemedicinsk Sektion	Almen medicin	Ydre København
162	Hovedstaden	Intern medicin	Rigshospitalet	GLO, Medicinsk afd., MG	Almen medicin	Ydre København
163	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
164	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
165	Syddanmark	Intern medicin	Sydvestjysk Sygehus Esbjerg	Fælles Medicinske afdelinger	Almen medicin	Område Sydvestjylland (Ribe)
166	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
167	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
168	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Medicinske Sygdomme, Lungemedicinsk Sektion	Almen medicin	Ydre København
169	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Indre København
170	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Indre København
171	Midtjylland	Kirurgi	Aarhus Universitetshospital	Mave- og Tarmkirurgi 	Almen medicin	Distrikt Øst
172	Hovedstaden	Neurologi	Rigshospitalet	GLO, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Indre København
173	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
174	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Vejle	Ortopædkir. afd.	Almen medicin	Område Lillebælt (Vejle)
175	Grønland og Færøerne	Kirurgi	Landssjúkrahúsið, Torshavn, Færøerne	Kirurgisk Afdeling	Almen medicin	Område Færøerne
176	Syddanmark	Intern medicin: Kardiologi	Sygehus Lillebælt Kolding	Hjertesygdomme	Almen medicin	Område Lillebælt (Vejle)
177	Syddanmark	Intern medicin	Sygehus Lillebælt Vejle	Medicinsk afd.	Almen medicin	Område Lillebælt (Vejle)
178	Midtjylland	Intern medicin	Hospitalsenheden Horsens	Medicinsk Afdeling, Overafdeling	Almen medicin	Distrikt Øst
179	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Indre København
180	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
181	Syddanmark	Intern medicin: Kardiologi	OUH Odense Universitetshospital	Hjertemed. afd. B	Almen medicin	Område Fyn
182	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Indre København
183	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Indre København
184	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Indre København
185	Hovedstaden	Kirurgi	Bornholms Hospital	BOH, Afdeling for Kirurgi	Almen medicin	Bornholms Regionskommune
186	Syddanmark	Intern medicin: Kardiologi	Sygehus Lillebælt Vejle	Hjertesygdomme	Almen medicin	Område Lillebælt (Vejle)
187	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Lungemed. afd. J	Almen medicin	Område Fyn
188	Syddanmark	Neurologi	OUH Odense Universitetshospital	Neurologisk Afdeling N	Almen medicin	Område Fyn
189	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Medicinsk Klinik	Almen medicin	Indre København
190	Syddanmark	Intern medicin	Sydvestjysk Sygehus Esbjerg	Fælles Medicinske afdelinger	Almen medicin	Område Sydvestjylland (Ribe)
191	Syddanmark	Intern medicin: Kardiologi	OUH Odense Universitetshospital	Hjertemed. afd. B	Almen medicin	Område Fyn
192	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Medicinsk Klinik	Almen medicin	Indre København
193	Syddanmark	Intern medicin	Sydvestjysk Sygehus Esbjerg	Fælles Medicinske afdelinger	Almen medicin	Område Sydvestjylland (Ribe)
194	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Indre København
195	Hovedstaden	Neurologi	Rigshospitalet	GLO, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Indre København
196	Midtjylland	Intern medicin	Hospitalsenhed Midt	Diagnostisk Center Medicin	Almen medicin	Distrikt Midt
197	Syddanmark	Kirurgi	OUH Odense Universitetshospital	Kirurgisk afd. A	Almen medicin	Område Fyn
198	Syddanmark	Neurologi	OUH Odense Universitetshospital	Neurologisk Afdeling N	Almen medicin	Område Fyn
199	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
200	Grønland og Færøerne	Kirurgi	Landssjúkrahúsið, Torshavn, Færøerne	Kirurgisk Afdeling	Almen medicin	Område Færøerne
201	Syddanmark	Intern medicin: Kardiologi	Sygehus Lillebælt Kolding	Hjertesygdomme	Almen medicin	Område Lillebælt (Vejle)
202	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
203	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
204	Nordjylland	Urologi	Aalborg Universitetshospital	Urologisk Afd.	Almen medicin	Område Region Nordjylland
205	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Ydre København
206	Syddanmark	Intern medicin	Sygehus Lillebælt Vejle	Medicinsk afd.	Almen medicin	Område Lillebælt (Vejle)
207	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Medicinske Sygdomme, Endokrinologisk Sektion	Almen medicin	Ydre København
208	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Indre København
209	Syddanmark	Ortopædisk kirurgi	OUH Odense Universitetshospital	Ortopædkir. afd. O	Almen medicin	Område Fyn
210	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Kolding	Ortopædkirurgi	Almen medicin	Område Lillebælt (Vejle)
211	Syddanmark	Intern medicin	Sygehus Lillebælt Vejle	Medicinsk afd.	Almen medicin	Område Lillebælt (Vejle)
212	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Vejle	Ortopædkir. afd.	Almen medicin	Område Lillebælt (Vejle)
213	Hovedstaden	Intern medicin	NordSjællands Hospital	HIL, Endokrinologisk og Nefrologisk Afdeling	Almen medicin	NordSjælland
